verb,conjugates
받아들이다,받아들이거나
받아들이다,받아들이거늘
받아들이다,받아들이거니
받아들이다,받아들이거든
받아들이다,받아들이건
받아들이다,받아들이것다
받아들이다,받아들이게
받아들이다,받아들이겠
받아들이다,받아들이고
받아들이다,받아들이고말고
받아들이다,받아들이기로
받아들이다,받아들이기로니
받아들이다,받아들이기로서
받아들이다,받아들이기로서니
받아들이다,받아들이기에
받아들이다,받아들이네
받아들이다,받아들이니
받아들이다,받아들이다
받아들이다,받아들이다가
받아들이다,받아들이다가는
받아들이다,받아들이다간
받아들이다,받아들이다니
받아들이다,받아들이다마다
받아들이다,받아들이더니
받아들이다,받아들이더니라
받아들이다,받아들이더라
받아들이다,받아들이더라니까
받아들이다,받아들이더라도
받아들이다,받아들이더라며
받아들이다,받아들이더라면
받아들이다,받아들이더라면서
받아들이다,받아들이더람
받아들이다,받아들이던
받아들이다,받아들이던가
받아들이다,받아들이던데
받아들이다,받아들이던지
받아들이다,받아들이데
받아들이다,받아들이데요
받아들이다,받아들이도다
받아들이다,받아들이되
받아들이다,받아들이든
받아들이다,받아들이든지
받아들이다,받아들이듯
받아들이다,받아들이듯이
받아들이다,받아들이죠
받아들이다,받아들이지마는
받아들이다,받아들이지만
받아들이다,받아들이지요
받아들이다,받아들인걸
받아들이다,받아들인들
받아들이다,받아들이나마
받아들이다,받아들이니까
받아들이다,받아들일
받아들이다,받아들일걸
받아들이다,받아들일까
받아들이다,받아들일는지
받아들이다,받아들일라
받아들이다,받아들일라고
받아들이다,받아들일러니
받아들이다,받아들일러라
받아들이다,받아들일런고
받아들이다,받아들일망정
받아들이다,받아들일밖에
받아들이다,받아들일뿐더러
받아들이다,받아들일수록
받아들이다,받아들일지라도
받아들이다,받아들이며
받아들이다,받아들이면
받아들이다,받아들이면서
받아들이다,받아들이세요
받아들이다,받아들이셔요
받아들이다,받아들이지
받아들이다,받아들이건대
받아들이다,받아들이나니
받아들이다,받아들이느라
받아들이다,받아들이느라고
받아들이다,받아들이는구나
받아들이다,받아들이는군
받아들이다,받아들이도록
받아들이다,받아들이자
받아들이다,받아들이자고
받아들이다,받아들이자꾸나
받아들이다,받아들이자느니
받아들이다,받아들이자니까
받아들이다,받아들이자마자
받아들이다,받아들이자며
받아들이다,받아들이자면
받아들이다,받아들이자면서
받아들이다,받아들인
받아들이다,받아들인다
받아들이다,받아들인다고
받아들이다,받아들인다나
받아들이다,받아들인다네
받아들이다,받아들인다느니
받아들이다,받아들인다니
받아들이다,받아들인다니까
받아들이다,받아들인다더라
받아들이다,받아들인다며
받아들이다,받아들인다면
받아들이다,받아들인다면서
받아들이다,받아들인답니까
받아들이다,받아들인답니다
받아들이다,받아들인답시고
받아들이다,받아들인대
받아들이다,받아들인대요
받아들이다,받아들일거나
받아들이다,받아들일게
받아들이다,받아들일래
