word,tags1,tags2
一,HSK 1,TOCFL 1
一一,HSK 7,TOCFL 4
一下兒,HSK 1,
一下子,HSK 5,TOCFL 3
一下子兒,TOCFL 3,
一不小心,HSK 7,
一乾二淨,HSK 7,
一事無成,HSK 7,
一些,HSK 1,TOCFL 1
一代,HSK 6,
一個勁兒,HSK 7,
一共,HSK 2,TOCFL 2
一再,HSK 4,TOCFL 4
一切,HSK 3,TOCFL 3
一剎那,HSK 7,
一動不動,HSK 7,
一半,HSK 1,TOCFL 1
一半兒,TOCFL 1,
一卡通,HSK 7,
一口氣,HSK 5,TOCFL 4
一句話,HSK 5,
一同,HSK 6,TOCFL 3
一向,HSK 5,TOCFL 3
一味,HSK 7,TOCFL 5
一回事,HSK 7,
一塊,TOCFL 3,
一塊兒,HSK 1,TOCFL 3
一塌糊塗,HSK 7,
一大早,HSK 7,TOCFL 4
一天到晚,HSK 7,TOCFL 4
一如,TOCFL 5,
一如既往,HSK 7,
一定,HSK 2,TOCFL 1
一家人,HSK 7,
一帆風順,HSK 7,
一帶,HSK 5,TOCFL 4
一年到頭,HSK 7,
一度,HSK 7,TOCFL 5
一律,HSK 4,TOCFL 5
一心,HSK 7,TOCFL 5
一心一意,HSK 7,
一應俱全,HSK 7,
一成不變,HSK 7,
一手,HSK 7,
一技之長,HSK 7,
一把手,HSK 7,
一攬子,HSK 7,
一方面,HSK 3,TOCFL 3
一旁,HSK 7,TOCFL 4
一旦,HSK 5,TOCFL 4
一早,HSK 7,
一時,HSK 6,TOCFL 3
一晃,HSK 7,
一會兒,HSK 1,TOCFL 2
一概,HSK 7,TOCFL 5
一概而論,HSK 7,
一模一樣,HSK 6,
一樣,HSK 1,TOCFL 1
一次性,HSK 6,
一毛不拔,HSK 7,
一流,HSK 5,TOCFL 5
一無所有,HSK 7,
一無所知,HSK 7,
一生,HSK 2,TOCFL 3
一番,HSK 6,
一目了然,HSK 7,
一直,HSK 2,TOCFL 2
一眼,HSK 7,
一瞬間,HSK 7,
一籌莫展,HSK 7,
一系列,HSK 7,
一經,HSK 7,
一線,HSK 7,
一聲不吭,HSK 7,
一致,HSK 4,TOCFL 4
一舉,HSK 7,
一舉一動,HSK 7,
一般,HSK 2,TOCFL 2
一般來說,HSK 4,TOCFL 3
一般而言,TOCFL 4,
一行,HSK 6,
一言一行,HSK 7,
一言不發,HSK 7,
一貫,HSK 6,TOCFL 5
一起,HSK 1,TOCFL 1
一路,HSK 5,
一路上,HSK 6,
一路平安,HSK 2,
一路順風,HSK 2,
一身,HSK 5,
一輩子,HSK 5,
一連,HSK 7,TOCFL 3
一連串,HSK 7,TOCFL 5
一道,HSK 6,TOCFL 5
一邊,HSK 1,
一部分,HSK 2,
一鍋粥,HSK 7,
一長一短,HSK 7,
一陣,HSK 7,
一面,HSK 7,TOCFL 4
一頭,HSK 7,
一體,HSK 7,
一點,TOCFL 1,
一點兒,HSK 1,TOCFL 1
一點點,HSK 2,
一鼓作氣,HSK 7,
一齊,HSK 6,TOCFL 4
丁,HSK 7,TOCFL 4
七,HSK 1,TOCFL 1
七嘴八舌,HSK 7,
丈,TOCFL 5,
丈夫,HSK 4,TOCFL 4
三,HSK 1,TOCFL 1
三明治,HSK 6,TOCFL 2
三番五次,HSK 7,
三維,HSK 7,
三角,HSK 7,
三角形,TOCFL 4,
上,HSK 1,TOCFL 1
上下,HSK 5,TOCFL 4
上任,HSK 7,
上來,HSK 3,
上個月,HSK 4,
上升,HSK 3,TOCFL 4
上午,HSK 1,TOCFL 1
上去,HSK 3,
上司,HSK 7,TOCFL 5
上吊,TOCFL 5,
上報,HSK 7,
上場,HSK 7,
上好,TOCFL 5,
上學,HSK 1,TOCFL 1
上崗,HSK 7,
上市,HSK 6,TOCFL 4
上帝,HSK 6,TOCFL 3
上方,HSK 7,
上旬,HSK 7,TOCFL 5
上映,HSK 7,
上期,HSK 7,
上樓,HSK 4,
上次,HSK 1,
上流,HSK 7,
上游,HSK 7,TOCFL 4
上演,HSK 6,TOCFL 5
上漲,HSK 5,TOCFL 5
上火,HSK 7,
上班,HSK 1,TOCFL 1
上當,HSK 6,TOCFL 3
上癮,HSK 7,TOCFL 5
上空,HSK 7,TOCFL 5
上級,HSK 5,TOCFL 4
上網,HSK 1,TOCFL 1
上臺,HSK 6,TOCFL 4
上街,TOCFL 3,
上衣,HSK 3,TOCFL 3
上訴,HSK 7,
上課,HSK 1,TOCFL 1
上調,HSK 7,
上路,TOCFL 5,
上車,HSK 1,
上述,HSK 7,TOCFL 4
上週,HSK 2,
上進,TOCFL 5,
上邊,HSK 1,
上門,HSK 4,TOCFL 5
上限,HSK 7,
上面,HSK 3,TOCFL 1
上頭,HSK 7,TOCFL 4
下,HSK 1,TOCFL 1
下一代,HSK 7,
下令,HSK 7,
下來,HSK 3,TOCFL 3
下個月,HSK 4,
下列,TOCFL 5,
下功夫,HSK 7,
下午,HSK 1,TOCFL 1
下午茶,TOCFL 4,
下去,HSK 3,TOCFL 4
下場,HSK 7,
下墜,HSK 7,
下屬,HSK 7,
下山,HSK 7,
下崗,HSK 7,
下巴,TOCFL 4,
下意識,HSK 7,
下手,HSK 7,
下旬,HSK 7,TOCFL 5
下期,HSK 7,
下棋,HSK 7,TOCFL 4
下樓,HSK 4,
下次,HSK 1,
下水,TOCFL 5,
下水道,TOCFL 5,
下決心,HSK 7,
下海,HSK 7,
下游,HSK 7,TOCFL 4
下滑,TOCFL 5,
下班,HSK 1,TOCFL 2
下筆,TOCFL 5,
下級,HSK 7,
下臺,HSK 7,
下落,HSK 7,
下課,HSK 1,TOCFL 1
下調,HSK 7,
下跌,HSK 7,TOCFL 5
下車,HSK 1,
下載,HSK 4,
下週,HSK 2,
下邊,HSK 1,
下鄉,HSK 7,
下降,HSK 4,TOCFL 4
下雨,HSK 1,TOCFL 1
下雪,HSK 2,TOCFL 1
下面,HSK 3,TOCFL 1
不,HSK 1,TOCFL 1
不一定,HSK 2,
不一會兒,HSK 2,
不下,TOCFL 5,
不久,HSK 2,TOCFL 2
不了了之,HSK 7,
不予,HSK 7,
不亞於,HSK 7,
不亦樂乎,HSK 7,
不以為然,HSK 7,
不但,HSK 2,TOCFL 2
不便,HSK 6,TOCFL 5
不值,HSK 6,
不假思索,HSK 7,
不停,HSK 5,
不僅,HSK 3,TOCFL 4
不僅僅,HSK 6,
不像話,HSK 7,
不光,HSK 3,
不免,HSK 5,TOCFL 5
不公,TOCFL 5,
不再,HSK 6,TOCFL 5
不准,HSK 7,
不凡,TOCFL 5,
不利,HSK 5,
不利於,HSK 7,
不到,TOCFL 4,
不力,TOCFL 5,
不動產,TOCFL 5,
不及,TOCFL 5,
不可思議,HSK 7,
不可避免,HSK 7,
不同,HSK 2,TOCFL 2
不同尋常,HSK 7,
不在乎,HSK 4,
不堪,HSK 7,TOCFL 5
不夠,HSK 2,
不大,HSK 1,TOCFL 4
不太,HSK 2,
不好意思,HSK 2,TOCFL 2
不如,HSK 2,TOCFL 3
不如说,HSK 7,
不妨,HSK 7,TOCFL 5
不安,HSK 3,TOCFL 4
不定,HSK 7,
不宜,HSK 7,TOCFL 4
不客氣,HSK 1,TOCFL 1
不容,HSK 7,TOCFL 5
不對,HSK 1,
不少,HSK 2,TOCFL 3
不屑,HSK 7,
不已,HSK 7,
不平,HSK 7,TOCFL 4
不幸,HSK 5,TOCFL 3
不得,TOCFL 5,
不得不,HSK 3,TOCFL 3
不得了,HSK 5,TOCFL 3
不得已,HSK 7,TOCFL 4
不得而知,HSK 7,
不必,HSK 3,TOCFL 3
不怎麼,HSK 6,
不怎麼樣,HSK 6,
不恥下問,HSK 7,
不惜,HSK 7,TOCFL 5
不慎,HSK 7,
不懈,HSK 7,TOCFL 5
不成,HSK 6,TOCFL 4
不敢當,HSK 5,TOCFL 4
不料,HSK 6,TOCFL 5
不斷,HSK 3,TOCFL 3
不易,HSK 5,
不時,HSK 5,TOCFL 5
不景氣,HSK 7,
不曾,HSK 5,
不服,HSK 7,
不服氣,HSK 7,
不止,HSK 5,TOCFL 4
不正之風,HSK 7,
不法,TOCFL 5,
不滿,HSK 2,TOCFL 3
不為人知,HSK 7,
不然,HSK 4,TOCFL 4
不理,HSK 7,
不用,HSK 1,TOCFL 2
不用說,HSK 7,TOCFL 3
不由得,HSK 7,TOCFL 4
不由自主,HSK 7,
不當,TOCFL 4,
不相上下,HSK 7,
不知,HSK 7,
不知不覺,HSK 7,TOCFL 5
不禁,HSK 6,TOCFL 5
不等,TOCFL 5,
不算,HSK 7,
不管,HSK 4,TOCFL 3
不約而同,HSK 7,
不經意,HSK 7,
不翼而飛,HSK 7,
不耐煩,HSK 5,
不肖,TOCFL 5,
不肯,HSK 7,
不能不,HSK 5,
不至於,HSK 6,TOCFL 5
不致,TOCFL 5,
不致於,TOCFL 5,
不良,HSK 5,TOCFL 4
不行,HSK 2,
不要,HSK 2,
不要緊,HSK 4,
不見,HSK 6,TOCFL 3
不見了,TOCFL 3,
不見得,HSK 7,TOCFL 4
不解,HSK 7,
不許,HSK 5,TOCFL 4
不論,HSK 3,TOCFL 3
不起眼,HSK 7,
不足,HSK 5,TOCFL 3
不辭而別,HSK 7,
不通,HSK 6,
不過,HSK 2,TOCFL 3
不適,HSK 7,
不錯,HSK 2,TOCFL 1
不難,HSK 7,
不顧,HSK 5,TOCFL 4
且,HSK 7,TOCFL 4
世,TOCFL 4,
世事,TOCFL 5,
世代,HSK 7,TOCFL 5
世故,HSK 7,
世界,HSK 3,TOCFL 2
世界杯,HSK 3,
世界級,HSK 7,
世紀,HSK 3,TOCFL 4
世襲,HSK 7,
世間,TOCFL 5,
丘陵,HSK 7,TOCFL 5
丙,HSK 7,TOCFL 4
丟,HSK 5,TOCFL 2
丟人,HSK 7,TOCFL 4
丟失,HSK 7,
丟掉,HSK 7,
丟棄,HSK 7,TOCFL 5
丟臉,HSK 7,TOCFL 4
並,TOCFL 4,
並且,HSK 3,TOCFL 4
並列,HSK 7,TOCFL 5
並行,HSK 7,
並重,TOCFL 5,
並非,HSK 7,
丫頭,HSK 7,
中,HSK 1,TOCFL 3
中介,HSK 4,
中午,HSK 1,TOCFL 1
中和,TOCFL 5,
中國,HSK 1,TOCFL 1
中國畫,HSK 7,
中型,HSK 7,
中外,HSK 6,
中央,HSK 5,TOCFL 4
中學,HSK 1,TOCFL 1
中學生,HSK 1,
中小學,HSK 2,
中年,HSK 2,TOCFL 4
中庸,HSK 7,TOCFL 5
中心,HSK 2,TOCFL 2
中性,HSK 7,
中文,HSK 1,TOCFL 2
中斷,HSK 5,TOCFL 5
中旬,HSK 7,TOCFL 5
中暑,TOCFL 5,
中期,HSK 6,
中止,HSK 7,
中毒,HSK 5,TOCFL 4
中獎,HSK 4,TOCFL 5
中秋節,HSK 5,
中立,HSK 7,TOCFL 5
中等,HSK 6,
中級,HSK 2,TOCFL 4
中肯,TOCFL 5,
中華,HSK 6,
中華民族,HSK 3,
中葉,TOCFL 5,
中藥,HSK 5,TOCFL 4
中途,HSK 7,TOCFL 4
中部,HSK 3,TOCFL 3
中醫,HSK 2,TOCFL 5
中間,HSK 1,TOCFL 1
中風,TOCFL 5,
中餐,HSK 2,TOCFL 3
串,HSK 6,TOCFL 3
串門,HSK 7,
丸,HSK 7,
主,HSK 7,
主人,HSK 2,TOCFL 3
主人公,HSK 7,
主人翁,TOCFL 5,
主任,HSK 3,TOCFL 3
主力,HSK 7,TOCFL 5
主動,HSK 3,TOCFL 3
主婦,HSK 7,TOCFL 3
主子,HSK 6,
主宰,HSK 7,TOCFL 5
主導,HSK 5,TOCFL 5
主席,HSK 4,TOCFL 4
主張,HSK 3,TOCFL 4
主意,HSK 3,TOCFL 3
主持,HSK 3,TOCFL 4
主持人,HSK 6,
主旨,TOCFL 5,
主權,HSK 7,TOCFL 5
主流,HSK 6,TOCFL 5
主演,HSK 7,
主管,HSK 5,TOCFL 3
主編,HSK 7,
主義,HSK 7,TOCFL 5
主要,HSK 2,TOCFL 3
主見,TOCFL 5,
主觀,HSK 5,TOCFL 4
主角,HSK 6,TOCFL 4
主軸,TOCFL 5,
主辦,HSK 5,TOCFL 4
主頁,HSK 7,
主題,HSK 4,TOCFL 3
主題歌,HSK 7,
主食,HSK 7,
主體,HSK 5,
乃,HSK 7,TOCFL 5
乃至,HSK 7,
久,HSK 3,TOCFL 1
久仰,HSK 7,
久違,HSK 7,
之,HSK 7,TOCFL 4
之一,HSK 4,
之下,HSK 5,
之中,HSK 5,
之內,HSK 5,TOCFL 5
之前,HSK 4,TOCFL 3
之外,HSK 5,
之後,HSK 4,TOCFL 3
之所以,HSK 7,TOCFL 5
之間,HSK 4,TOCFL 3
之類,HSK 6,TOCFL 4
乒乓球,HSK 7,TOCFL 5
乖,HSK 7,TOCFL 3
乖巧,HSK 7,
乘,HSK 5,TOCFL 4
乘人之危,HSK 7,
乘坐,HSK 5,
乘客,HSK 5,TOCFL 4
乘車,HSK 5,
乙,HSK 5,TOCFL 4
九,HSK 1,TOCFL 1
乞丐,HSK 7,TOCFL 5
乞求,HSK 7,
乞討,HSK 7,
也,HSK 1,TOCFL 1
也好,HSK 5,TOCFL 3
也就是說,HSK 7,
也許,HSK 2,TOCFL 2
乳製品,HSK 6,
乾,TOCFL 2,
乾旱,HSK 7,
乾杯,HSK 2,TOCFL 4
乾淨,HSK 1,TOCFL 2
乾燥,HSK 7,TOCFL 5
乾脆,HSK 5,TOCFL 4
亂,HSK 3,TOCFL 3
亂七八糟,HSK 7,
了,HSK 1,TOCFL 1
了不起,HSK 4,TOCFL 3
了卻,HSK 7,
了結,HSK 7,
