word,tags1
가게,TOPIK 1
가격,TOPIK 1
가구,TOPIK 1
가깝다,TOPIK 1
가끔,TOPIK 1
가늘다,TOPIK 1
가다,TOPIK 1
가득,TOPIK 1
가르치다,TOPIK 1
가리키다,TOPIK 1
가방,TOPIK 1
가볍다,TOPIK 1
가수,TOPIK 1
가슴,TOPIK 1
가요,TOPIK 1
가운데,TOPIK 1
가위,TOPIK 1
가을,TOPIK 1
가져가다,TOPIK 1
가져오다,TOPIK 1
가족,TOPIK 1
가지다,TOPIK 1
각각,TOPIK 1
간단하다,TOPIK 1
간단히,TOPIK 1
간식,TOPIK 1
간장,TOPIK 1
간호사,TOPIK 1
갈비,TOPIK 1
갈비탕,TOPIK 1
갈색,TOPIK 1
갈아입다,TOPIK 1
갈아타다,TOPIK 1
감,TOPIK 1
감기,TOPIK 1
감기약,TOPIK 1
감사,TOPIK 1
감자,TOPIK 1
갑자기,TOPIK 1
값,TOPIK 1
강,TOPIK 1
강아지,TOPIK 1
강하다,TOPIK 1
갖다,TOPIK 1
같다,TOPIK 1
같이,TOPIK 1
갚다,TOPIK 1
개,TOPIK 1
개월,TOPIK 1
거,TOPIK 1
거기,TOPIK 1
거리,TOPIK 1
거실,TOPIK 1
거울,TOPIK 1
거의,TOPIK 1
거절,TOPIK 1
거짓말,TOPIK 1
걱정,TOPIK 1
건강,TOPIK 1
건너가다,TOPIK 1
건너다,TOPIK 1
건너편,TOPIK 1
건물,TOPIK 1
걸다,TOPIK 1
걸리다,TOPIK 1
걸어가다,TOPIK 1
걸어오다,TOPIK 1
걸음,TOPIK 1
검은색,TOPIK 1
검정,TOPIK 1
것,TOPIK 1
겉,TOPIK 1
게으르다,TOPIK 1
게임,TOPIK 1
겨울,TOPIK 1
결과,TOPIK 1
결석,TOPIK 1
결심,TOPIK 1
결정,TOPIK 1
결혼,TOPIK 1
결혼식,TOPIK 1
경찰,TOPIK 1
경찰서,TOPIK 1
경치,TOPIK 1
경험,TOPIK 1
계단,TOPIK 1
계란,TOPIK 1
계산,TOPIK 1
계속,TOPIK 1
계시다,TOPIK 1
계절,TOPIK 1
계획,TOPIK 1
고개,TOPIK 1
고기,TOPIK 1
고등학교,TOPIK 1
고등학생,TOPIK 1
고르다,TOPIK 1
고맙다,TOPIK 1
고모,TOPIK 1
고민,TOPIK 1
고속버스,TOPIK 1
고양이,TOPIK 1
고추장,TOPIK 1
고치다,TOPIK 1
고프다,TOPIK 1
고향,TOPIK 1
곧,TOPIK 1
곳,TOPIK 1
공,TOPIK 1
공무원,TOPIK 1
공부,TOPIK 1
공원,TOPIK 1
공장,TOPIK 1
공짜,TOPIK 1
공책,TOPIK 1
공항,TOPIK 1
공휴일,TOPIK 1
과거,TOPIK 1
과일,TOPIK 1
과자,TOPIK 1
관계,TOPIK 1
관광,TOPIK 1
관광객,TOPIK 1
관광지,TOPIK 1
관심,TOPIK 1
